Unicode,Description
1F344,mushroom
1F345,tomato
1F346,eggplant
1F347,grapes
1F348,melon
1F349,watermelon
1F34A,tangerine
1F34B,lemon
1F34C,banana
1F34D,pineapple
1F34E,apple
1F34F,green apple
1F350,pear
1F351,peach
1F352,cherries
1F353,strawberry
1F354,hamburger
1F355,pizza
1F356,meat on bone
1F357,poultry leg
1F358,rice cracker
1F359,rice ball
1F35A,rice
1F35B,curry
1F35C,ramen
1F35D,spaghetti
1F35E,bread
1F35F,fries
1F360,sweet potato
1F361,dango
1F362,oden
1F363,sushi
1F364,fried shrimp
1F365,fish cake
1F366,icecream
1F367,shaved ice
1F368,ice cream
1F369,doughnut
1F36A,cookie
1F36B,chocolate bar
1F36C,candy
1F36D,lollipop
1F36E,custard
1F36F,honey pot
1F370,cake
1F371,bento
1F372,stew
1F373,egg
1F374,fork and knife
1F375,tea
1F376,sake
1F377,wine glass
1F378,cocktail
1F379,tropical drink
1F37A,beer
1F37B,beers
1F37C,baby bottle
1F37D,knife fork plate
1F37E,champagne
1F37F,popcorn
1F380,ribbon
1F381,gift
1F382,birthday
1F383,jack o lantern
1F384,christmas tree
1F385,santa
1F386,fireworks
1F387,sparkler
1F388,balloon
1F389,tada
1F38A,confetti ball
1F38B,tanabata tree
1F38C,crossed flags
1F38D,bamboo
1F38E,dolls
1F38F,flags
1F390,wind chime
1F391,rice scene
1F392,school satchel
1F393,mortar board
1F396,medal
1F397,reminder ribbon
1F399,studio microphone
1F39A,level slider
1F39B,control knobs
1F39E,film frames
1F39F,admission tickets
1F3A0,carousel horse
1F3A1,ferris wheel
1F3A2,roller coaster
1F3A3,fishing pole and fish
1F3A4,microphone
1F3A5,movie camera
1F3A6,cinema
1F3A7,headphones
1F3A8,art
1F3A9,tophat
1F3AA,circus tent
1F3AB,ticket
1F3AC,clapper
1F3AD,performing arts
1F3AE,video game
1F3AF,dart
1F3B0,slot machine
1F3B1,8ball
1F3B2,game die
1F3B3,bowling
1F3B4,flower playing cards
1F3B5,musical note
1F3B6,notes
1F3B7,saxophone
1F3B8,guitar
1F3B9,musical keyboard
1F3BA,trumpet
1F3BB,violin
1F3BC,musical score
1F3BD,running shirt with sash
1F3BE,tennis
1F3BF,ski
1F3C0,basketball
1F3C1,checkered flag
1F3C2,snowboarder
1F3C3,runner
1F3C4,surfer
1F3C5,sports medal
1F3C6,trophy
1F3C7,horse racing
1F3C8,football
1F3C9,rugby football
1F3CA,swimmer
1F3CB,weight lifter
1F3CC,golfer
1F3CD,racing motorcycle
1F3CE,racing car
1F3CF,cricket bat and ball
1F3D0,volleyball
1F3D1,field hockey stick and ball
1F3D2,ice hockey stick and puck
1F3D3,table tennis paddle and ball
1F3D4,snow capped mountain
1F3D5,camping
1F3D6,beach with umbrella
1F3D7,building construction
1F3D8,house buildings
1F3D9,cityscape
1F3DA,derelict house building
1F3DB,classical building
1F3DC,desert
1F3DD,desert island
1F3DE,national park
1F3DF,stadium
1F3E0,house
1F3E1,house with garden
1F3E2,office
1F3E3,post office
1F3E4,european post office
1F3E5,hospital
1F3E6,bank
1F3E7,atm
1F3E8,hotel
1F3E9,love hotel
1F3EA,convenience store
1F3EB,school
1F3EC,department store
1F3ED,factory
1F3EE,izakaya lantern
1F3EF,japanese castle
1F3F0,european castle
1F3F3,waving white flag
1F3F4,waving black flag
1F3F5,rosette
1F3F7,label
1F3F8,badminton racquet and shuttlecock
1F3F9,bow and arrow
1F3FA,amphora
1F3FB,skin-tone-2
1F3FC,skin-tone-3
1F3FD,skin-tone-4
1F3FE,skin-tone-5
1F3FF,skin-tone-6
1F400,rat
1F401,mouse2
1F402,ox
1F403,water buffalo
1F404,cow2
1F405,tiger2
1F406,leopard
1F407,rabbit2
1F408,cat2
1F409,dragon
1F40A,crocodile
1F40B,whale2
1F40C,snail
1F40D,snake
1F40E,racehorse
1F40F,ram
1F410,goat
1F411,sheep
1F412,monkey
1F413,rooster
1F414,chicken
1F415,dog2
1F416,pig2
1F417,boar
1F418,elephant
1F419,octopus
1F41A,shell
1F41B,bug
1F41C,ant
1F41D,bee
1F41E,beetle
1F41F,fish
1F420,tropical fish
1F421,blowfish
1F422,turtle
1F423,hatching chick
1F424,baby chick
1F425,hatched chick
1F426,bird
1F427,penguin
1F428,koala
1F429,poodle
1F42A,dromedary camel
1F42B,camel
1F42C,dolphin
1F42D,mouse
1F42E,cow
1F42F,tiger
1F430,rabbit
1F431,cat
1F432,dragon face
1F433,whale
1F434,horse
1F435,monkey face
1F436,dog
1F437,pig
1F438,frog
1F439,hamster
1F43A,wolf
1F43B,bear
1F43C,panda face
1F43D,pig nose
1F43E,feet
1F43F,chipmunk
1F440,eyes
1F441,eye
1F442,ear
1F443,nose
1F444,lips
1F445,tongue
1F446,point up 2
1F447,point down
1F448,point left
1F449,point right
1F44A,facepunch
1F44B,wave
1F44C,ok hand
1F44D,1
1F44E,-1
1F44F,clap
1F450,open hands
1F451,crown
1F452,womans hat
1F453,eyeglasses
1F454,necktie
1F455,shirt
1F456,jeans
1F457,dress
1F458,kimono
1F459,bikini
1F45A,womans clothes
1F45B,purse
1F45C,handbag
1F45D,pouch
1F45E,mans shoe
1F45F,athletic shoe
1F460,high heel
1F461,sandal
1F462,boot
1F463,footprints
1F464,bust in silhouette
1F465,busts in silhouette
1F466,boy
1F467,girl
1F468,man
1F469,woman
1F46A,family
1F46B,couple
1F46C,two men holding hands
1F46D,two women holding hands
1F46E,cop
1F46F,dancers
1F470,bride with veil
1F471,person with blond hair
1F472,man with gua pi mao
1F473,man with turban
1F474,older man
1F475,older woman
1F476,baby
1F477,construction worker
1F478,princess
1F479,japanese ogre
1F47A,japanese goblin
1F47B,ghost
1F47C,angel
1F47D,alien
1F47E,space invader
1F47F,imp
1F480,skull
1F481,information desk person
1F482,guardsman
1F483,dancer
1F484,lipstick
1F485,nail care
1F486,massage
1F487,haircut
1F488,barber
1F489,syringe
1F48A,pill
1F48B,kiss
1F48C,love letter
1F48D,ring
1F48E,gem
1F48F,couplekiss
1F490,bouquet
1F491,couple with heart
1F492,wedding
1F493,heartbeat
1F494,broken heart
1F495,two hearts
1F496,sparkling heart
1F497,heartpulse
1F498,cupid
1F499,blue heart
1F49A,green heart
1F49B,yellow heart
1F49C,purple heart
1F49D,gift heart
1F49E,revolving hearts
1F49F,heart decoration
1F4A0,diamond shape with a dot inside
1F4A1,bulb
1F4A2,anger
1F4A3,bomb
1F4A4,zzz
1F4A5,boom
1F4A6,sweat drops
1F4A7,droplet
1F4A8,dash
1F4A9,hankey
1F4AA,muscle
1F4AB,dizzy
1F4AC,speech balloon
1F4AD,thought balloon
1F4AE,white flower
1F4AF,100
1F4B0,moneybag
1F4B1,currency exchange
1F4B2,heavy dollar sign
1F4B3,credit card
1F4B4,yen
1F4B5,dollar
1F4B6,euro
1F4B7,pound
1F4B8,money with wings
1F4B9,chart
1F4BA,seat
1F4BB,computer
1F4BC,briefcase
1F4BD,minidisc
1F4BE,floppy disk
1F4BF,cd
1F4C0,dvd
1F4C1,file folder
1F4C2,open file folder
1F4C3,page with curl
1F4C4,page facing up
1F4C5,date
1F4C6,calendar
1F4C7,card index
1F4C8,chart with upwards trend
1F4C9,chart with downwards trend
1F4CA,bar chart
1F4CB,clipboard
1F4CC,pushpin
1F4CD,round pushpin
1F4CE,paperclip
1F4CF,straight ruler
1F4D0,triangular ruler
1F4D1,bookmark tabs
1F4D2,ledger
1F4D3,notebook
1F4D4,notebook with decorative cover
1F4D5,closed book
1F4D6,book
1F4D7,green book
1F4D8,blue book
1F4D9,orange book
1F4DA,books
1F4DB,name badge
1F4DC,scroll
1F4DD,memo
1F4DE,telephone receiver
1F4DF,pager
1F4E0,fax
1F4E1,satellite
1F4E2,loudspeaker
1F4E3,mega
1F4E4,outbox tray
1F4E5,inbox tray
1F4E6,package
1F4E7,e-mail
1F4E8,incoming envelope
1F4E9,envelope with arrow
1F4EA,mailbox closed
1F4EB,mailbox
1F4EC,mailbox with mail
1F4ED,mailbox with no mail
1F4EE,postbox
1F4EF,postal horn
1F4F0,newspaper
1F4F1,iphone
1F4F2,calling
1F4F3,vibration mode
1F4F4,mobile phone off
1F4F5,no mobile phones
1F4F6,signal strength
1F4F7,camera
1F4F8,camera with flash
1F4F9,video camera
1F4FA,tv
1F4FB,radio
1F4FC,vhs
1F4FD,film projector
1F4FF,prayer beads
1F500,twisted rightwards arrows
1F501,repeat
1F502,repeat one
1F503,arrows clockwise
1F504,arrows counterclockwise
1F505,low brightness
1F506,high brightness
1F507,mute
1F508,speaker
1F509,sound
1F50A,loud sound
1F50B,battery
1F50C,electric plug
1F50D,mag
1F50E,mag right
1F50F,lock with ink pen
1F510,closed lock with key
1F511,key
1F512,lock
1F513,unlock
1F514,bell
1F515,no bell
1F516,bookmark
1F517,link
1F518,radio button
1F519,back
1F51A,end
1F51B,on
1F51C,soon
1F51D,top
1F51E,underage
1F51F,keycap ten
1F520,capital abcd
1F521,abcd
1F522,1234
1F523,symbols
1F524,abc
1F525,fire
1F526,flashlight
1F527,wrench
1F528,hammer
1F529,nut and bolt
1F52A,hocho
1F52B,gun
1F52C,microscope
1F52D,telescope
1F52E,crystal ball
1F52F,six pointed star
1F530,beginner
1F531,trident
1F532,black square button
1F533,white square button
1F534,red circle
1F535,large blue circle
1F536,large orange diamond
1F537,large blue diamond
1F538,small orange diamond
1F539,small blue diamond
1F53A,small red triangle
1F53B,small red triangle down
1F53C,arrow up small
1F53D,arrow down small
1F549,om symbol
1F54A,dove of peace
1F54B,kaaba
1F54C,mosque
1F54D,synagogue
1F54E,menorah with nine branches
1F550,clock1
1F551,clock2
1F552,clock3
1F553,clock4
1F554,clock5
1F555,clock6
1F556,clock7
1F557,clock8
1F558,clock9
1F559,clock10
1F55A,clock11
1F55B,clock12
1F55C,clock130
1F55D,clock230
1F55E,clock330
1F55F,clock430
1F560,clock530
1F561,clock630
1F562,clock730
1F563,clock830
1F564,clock930
1F565,clock1030
1F566,clock1130
1F567,clock1230
1F56F,candle
1F570,mantelpiece clock
1F573,hole
1F574,man in business suit levitating
1F575,sleuth or spy
1F576,dark sunglasses
1F577,spider
1F578,spider web
1F579,joystick
1F587,linked paperclips
1F58A,lower left ballpoint pen
1F58B,lower left fountain pen
1F58C,lower left paintbrush
1F58D,lower left crayon
1F590,raised hand with fingers splayed
1F595,middle finger
1F596,spock-hand
1F5A5,desktop computer
1F5A8,printer
1F5B1,three button mouse
1F5B2,trackball
1F5BC,frame with picture
1F5C2,card index dividers
1F5C3,card file box
1F5C4,file cabinet
1F5D1,wastebasket
1F5D2,spiral note pad
1F5D3,spiral calendar pad
1F5DC,compression
1F5DD,old key
1F5DE,rolled up newspaper
1F5E1,dagger knife
1F5E3,speaking head in silhouette
1F5E8,left speech bubble
1F5EF,right anger bubble
1F5F3,ballot box with ballot
1F5FA,world map
1F5FB,mount fuji
1F5FC,tokyo tower
1F5FD,statue of liberty
1F5FE,japan
1F5FF,moyai
1F600,grinning
1F601,grin
1F602,joy
1F603,smiley
1F604,smile
1F605,sweat smile
1F606,laughing
1F607,innocent
1F608,smiling imp
1F609,wink
1F60A,blush
1F60B,yum
1F60C,relieved
1F60D,heart eyes
1F60E,sunglasses
1F60F,smirk
1F610,neutral face
1F611,expressionless
1F612,unamused
1F613,sweat
1F614,pensive
1F615,confused
1F616,confounded
1F617,kissing
1F618,kissing heart
1F619,kissing smiling eyes
1F61A,kissing closed eyes
1F61B,stuck out tongue
1F61C,stuck out tongue winking eye
1F61D,stuck out tongue closed eyes
1F61E,disappointed
1F61F,worried
1F620,angry
1F621,rage
1F622,cry
1F623,persevere
1F624,triumph
1F625,disappointed relieved
1F626,frowning
1F627,anguished
1F628,fearful
1F629,weary
1F62A,sleepy
1F62B,tired face
1F62C,grimacing
1F62D,sob
1F62E,open mouth
1F62F,hushed
1F630,cold sweat
1F631,scream
1F632,astonished
1F633,flushed
1F634,sleeping
1F635,dizzy face
1F636,no mouth
1F637,mask
1F638,smile cat
1F639,joy cat
1F63A,smiley cat
1F63B,heart eyes cat
1F63C,smirk cat
1F63D,kissing cat
1F63E,pouting cat
1F63F,crying cat face
1F640,scream cat
1F641,slightly frowning face
1F642,slightly smiling face
1F643,upside down face
1F644,face with rolling eyes
1F645,no good
1F646,ok woman
1F647,bow
1F648,see no evil
1F649,hear no evil
1F64A,speak no evil
1F64B,raising hand
1F64C,raised hands
1F64D,person frowning
1F64E,person with pouting face
1F64F,pray
1F680,rocket
1F681,helicopter
1F682,steam locomotive
1F683,railway car
1F684,bullettrain side
1F685,bullettrain front
1F686,train2
1F687,metro
1F688,light rail
1F689,station
1F68A,tram
1F68B,train
1F68C,bus
1F68D,oncoming bus
1F68E,trolleybus
1F68F,busstop
1F690,minibus
1F691,ambulance
1F692,fire engine
1F693,police car
1F694,oncoming police car
1F695,taxi
1F696,oncoming taxi
1F697,car
1F698,oncoming automobile
1F699,blue car
1F69A,truck
1F69B,articulated lorry
1F69C,tractor
1F69D,monorail
1F69E,mountain railway
1F69F,suspension railway
1F6A0,mountain cableway
1F6A1,aerial tramway
1F6A2,ship
1F6A3,rowboat
1F6A4,speedboat
1F6A5,traffic light
1F6A6,vertical traffic light
1F6A7,construction
1F6A8,rotating light
1F6A9,triangular flag on post
1F6AA,door
1F6AB,no entry sign
1F6AC,smoking
1F6AD,no smoking
1F6AE,put litter in its place
1F6AF,do not litter
1F6B0,potable water
1F6B1,non-potable water
1F6B2,bike
1F6B3,no bicycles
1F6B4,bicyclist
1F6B5,mountain bicyclist
1F6B6,walking
1F6B7,no pedestrians
1F6B8,children crossing
1F6B9,mens
1F6BA,womens
1F6BB,restroom
1F6BC,baby symbol
1F6BD,toilet
1F6BE,wc
1F6BF,shower
1F6C0,bath
1F6C1,bathtub
1F6C2,passport control
1F6C3,customs
1F6C4,baggage claim
1F6C5,left luggage
1F6CB,couch and lamp
1F6CC,sleeping accommodation
1F6CD,shopping bags
1F6CE,bellhop bell
1F6CF,bed
1F6D0,place of worship
1F6E0,hammer and wrench
1F6E1,shield
1F6E2,oil drum
1F6E3,motorway
1F6E4,railway track
1F6E5,motor boat
1F6E9,small airplane
1F6EB,airplane departure
1F6EC,airplane arriving
1F6F0,satellite
1F6F3,passenger ship
1F910,zipper mouth face
1F911,money mouth face
1F912,face with thermometer
1F913,nerd face
1F914,thinking face
1F915,face with head bandage
1F916,robot face
1F917,hugging face
1F918,the horns
1F980,crab
1F981,lion face
1F982,scorpion
1F983,turkey
1F984,unicorn face
1F9C0,cheese wedge
0023-20E3,hash
002A-20E3,keycap star
0030-20E3,zero
0031-20E3,one
0032-20E3,two
0033-20E3,three
0034-20E3,four
0035-20E3,five
0036-20E3,six
0037-20E3,seven
0038-20E3,eight
0039-20E3,nine
1F1E6-1F1E8,Ascension Island
1F1E6-1F1E9,Andorra
1F1E6-1F1EA,United Arab Emirates
1F1E6-1F1EB,Afghanistan
1F1E6-1F1EC,Antigua & Barbuda
1F1E6-1F1EE,Anguilla
1F1E6-1F1F1,Albania
1F1E6-1F1F2,Armenia
1F1E6-1F1F4,Angola
1F1E6-1F1F6,Antarctica
1F1E6-1F1F7,Argentina
1F1E6-1F1F8,American Samoa
1F1E6-1F1F9,Austria
1F1E6-1F1FA,Australia
1F1E6-1F1FC,Aruba
1F1E6-1F1FD,Aland Islands
1F1E6-1F1FF,Azerbaijan
1F1E7-1F1E6,Bosnia & Herzegovina
1F1E7-1F1E7,Barbados
1F1E7-1F1E9,Bangladesh
1F1E7-1F1EA,Belgium
1F1E7-1F1EB,Burkina Faso
1F1E7-1F1EC,Bulgaria
1F1E7-1F1ED,Bahrain
1F1E7-1F1EE,Burundi
1F1E7-1F1EF,Benin
1F1E7-1F1F1,St. Barthelemy
1F1E7-1F1F2,Bermuda
1F1E7-1F1F3,Brunei
1F1E7-1F1F4,Bolivia
1F1E7-1F1F6,Caribbean Netherlands
1F1E7-1F1F7,Brazil
1F1E7-1F1F8,Bahamas
1F1E7-1F1F9,Bhutan
1F1E7-1F1FB,Bouvet Island
1F1E7-1F1FC,Botswana
1F1E7-1F1FE,Belarus
1F1E7-1F1FF,Belize
1F1E8-1F1E6,Canada
1F1E8-1F1E8,Cocos Islands
1F1E8-1F1E9,Congo - Kinshasa
1F1E8-1F1EB,Central African Republic
1F1E8-1F1EC,Congo - Brazzaville
1F1E8-1F1ED,Switzerland
1F1E8-1F1EE,Cote D’Ivoire
1F1E8-1F1F0,Cook Islands
1F1E8-1F1F1,Chile
1F1E8-1F1F2,Cameroon
1F1E8-1F1F3,China
1F1E8-1F1F4,Colombia
1F1E8-1F1F5,Clipperton Island
1F1E8-1F1F7,Costa Rica
1F1E8-1F1FA,Cuba
1F1E8-1F1FB,Cape Verde
1F1E8-1F1FC,Curacao
1F1E8-1F1FD,Christmas Island
1F1E8-1F1FE,Cyprus
1F1E8-1F1FF,Czech Republic
1F1E9-1F1EA,Germany
1F1E9-1F1EC,Diego Garcia
1F1E9-1F1EF,Djibouti
1F1E9-1F1F0,Denmark
1F1E9-1F1F2,Dominica
1F1E9-1F1F4,Dominican Republic
1F1E9-1F1FF,Algeria
1F1EA-1F1E6,Ceuta & Melilla
1F1EA-1F1E8,Ecuador
1F1EA-1F1EA,Estonia
1F1EA-1F1EC,Egypt
1F1EA-1F1ED,Western Sahara
1F1EA-1F1F7,Eritrea
1F1EA-1F1F8,Spain
1F1EA-1F1F9,Ethiopia
1F1EA-1F1FA,European Union
1F1EB-1F1EE,Finland
1F1EB-1F1EF,Fiji
1F1EB-1F1F0,Falkland Islands
1F1EB-1F1F2,Micronesia
1F1EB-1F1F4,Faroe Islands
1F1EB-1F1F7,France
1F1EC-1F1E6,Gabon
1F1EC-1F1E7,United Kingdom
1F1EC-1F1E9,Grenada
1F1EC-1F1EA,Georgia
1F1EC-1F1EB,French Guiana
1F1EC-1F1EC,Guernsey
1F1EC-1F1ED,Ghana
1F1EC-1F1EE,Gibraltar
1F1EC-1F1F1,Greenland
1F1EC-1F1F2,Gambia
1F1EC-1F1F3,Guinea
1F1EC-1F1F5,Guadeloupe
1F1EC-1F1F6,Equatorial Guinea
1F1EC-1F1F7,Greece
1F1EC-1F1F8,South Georgia & South Sandwich Islands
1F1EC-1F1F9,Guatemala
1F1EC-1F1FA,Guam
1F1EC-1F1FC,Guinea-Bissau
1F1EC-1F1FE,Guyana
1F1ED-1F1F0,Hong Kong
1F1ED-1F1F2,Heard & McDonald Islands
1F1ED-1F1F3,Honduras
1F1ED-1F1F7,Croatia
1F1ED-1F1F9,Haiti
1F1ED-1F1FA,Hungary
1F1EE-1F1E8,Canary Islands
1F1EE-1F1E9,Indonesia
1F1EE-1F1EA,Ireland
1F1EE-1F1F1,Israel
1F1EE-1F1F2,Isle of Man
1F1EE-1F1F3,India
1F1EE-1F1F4,British Indian Ocean Territory
1F1EE-1F1F6,Iraq
1F1EE-1F1F7,Iran
1F1EE-1F1F8,Iceland
1F1EE-1F1F9,Italy
1F1EF-1F1EA,Jersey
1F1EF-1F1F2,Jamaica
1F1EF-1F1F4,Jordan
1F1EF-1F1F5,Japan
1F1F0-1F1EA,Kenya
1F1F0-1F1EC,Kyrgyzstan
1F1F0-1F1ED,Cambodia
1F1F0-1F1EE,Kiribati
1F1F0-1F1F2,Comoros
1F1F0-1F1F3,St. Kitts & Nevis
1F1F0-1F1F5,North Korea
1F1F0-1F1F7,South Korea
1F1F0-1F1FC,Kuwait
1F1F0-1F1FE,Cayman Islands
1F1F0-1F1FF,Kazakhstan
1F1F1-1F1E6,Laos
1F1F1-1F1E7,Lebanon
1F1F1-1F1E8,St. Lucia
1F1F1-1F1EE,Liechtenstein
1F1F1-1F1F0,Sri Lanka
1F1F1-1F1F7,Liberia
1F1F1-1F1F8,Lesotho
1F1F1-1F1F9,Lithuania
1F1F1-1F1FA,Luxembourg
1F1F1-1F1FB,Latvia
1F1F1-1F1FE,Libya
1F1F2-1F1E6,Morocco
1F1F2-1F1E8,Monaco
1F1F2-1F1E9,Moldova
1F1F2-1F1EA,Montenegro
1F1F2-1F1EB,St. Martin
1F1F2-1F1EC,Madagascar
1F1F2-1F1ED,Marshall Islands
1F1F2-1F1F0,Macedonia
1F1F2-1F1F1,Mali
1F1F2-1F1F2,Myanmar
1F1F2-1F1F3,Mongolia
1F1F2-1F1F4,Macau
1F1F2-1F1F5,Northern Mariana Islands
1F1F2-1F1F6,Martinique
1F1F2-1F1F7,Mauritania
1F1F2-1F1F8,Montserrat
1F1F2-1F1F9,Malta
1F1F2-1F1FA,Mauritius
1F1F2-1F1FB,Maldives
1F1F2-1F1FC,Malawi
1F1F2-1F1FD,Mexico
1F1F2-1F1FE,Malaysia
1F1F2-1F1FF,Mozambique
1F1F3-1F1E6,Namibia
1F1F3-1F1E8,New Caledonia
1F1F3-1F1EA,Niger
1F1F3-1F1EB,Norfolk Island
1F1F3-1F1EC,Nigeria
1F1F3-1F1EE,Nicaragua
1F1F3-1F1F1,Netherlands
1F1F3-1F1F4,Norway
1F1F3-1F1F5,Nepal
1F1F3-1F1F7,Nauru
1F1F3-1F1FA,Niue
1F1F3-1F1FF,New Zealand
1F1F4-1F1F2,Oman
1F1F5-1F1E6,Panama
1F1F5-1F1EA,Peru
1F1F5-1F1EB,French Polynesia
1F1F5-1F1EC,Papua New Guinea
1F1F5-1F1ED,Philippines
1F1F5-1F1F0,Pakistan
1F1F5-1F1F1,Poland
1F1F5-1F1F2,St. Pierre & Miquelon
1F1F5-1F1F3,Pitcairn Islands
1F1F5-1F1F7,Puerto Rico
1F1F5-1F1F8,Palestinian Territories
1F1F5-1F1F9,Portugal
1F1F5-1F1FC,Palau
1F1F5-1F1FE,Paraguay
1F1F6-1F1E6,Qatar
1F1F7-1F1EA,Reunion
1F1F7-1F1F4,Romania
1F1F7-1F1F8,Serbia
1F1F7-1F1FA,Russia
1F1F7-1F1FC,Rwanda
1F1F8-1F1E6,Saudi Arabia
1F1F8-1F1E7,Solomon Islands
1F1F8-1F1E8,Seychelles
1F1F8-1F1E9,Sudan
1F1F8-1F1EA,Sweden
1F1F8-1F1EC,Singapore
1F1F8-1F1ED,St. Helena
1F1F8-1F1EE,Slovenia
1F1F8-1F1EF,Svalbard & Jan Mayen
1F1F8-1F1F0,Slovakia
1F1F8-1F1F1,Sierra Leone
1F1F8-1F1F2,San Marino
1F1F8-1F1F3,Senegal
1F1F8-1F1F4,Somalia
1F1F8-1F1F7,Suriname
1F1F8-1F1F8,South Sudan
1F1F8-1F1F9,Sao Tome & Principe
1F1F8-1F1FB,El Salvador
1F1F8-1F1FD,Sint Maarten
1F1F8-1F1FE,Syria
1F1F8-1F1FF,Swaziland
1F1F9-1F1E6,Tristan Da Cunha
1F1F9-1F1E8,Turks & Caicos Islands
1F1F9-1F1E9,Chad
1F1F9-1F1EB,French Southern Territories
1F1F9-1F1EC,Togo
1F1F9-1F1ED,Thailand
1F1F9-1F1EF,Tajikistan
1F1F9-1F1F0,Tokelau
1F1F9-1F1F1,Timor-Leste
1F1F9-1F1F2,Turkmenistan
1F1F9-1F1F3,Tunisia
1F1F9-1F1F4,Tonga
1F1F9-1F1F7,Turkey
